AÑO DEL REPORTE DE INFORMACION;PERIODO DE LA INFORMACION REMITIDA;FECHA DE REPORTE DE LA INFORMACIÓN;CODIGO DE LA ENTIDAD ;NOMBRE DEL PROGRAMA ;CODIGO DE LINEA;NOMBRE DE LA LINEA DE INTERVENCION ;CODIGO DE SERVICIO;NOMBRE DEL SERVICIO;UBIGEO DE SU UBICACIÓN GEOGRÁFICA SEGÚN EL INEI;DEPARTAMENTO DEL CENTRO DE ATENCIÓN;PROVINCIA DEL CENTRO DE ATENCIÓN;DISTRITO DEL CENTRO DE ATENCIÓN;CODIGO DEL CENTRO DE ATENCIÓN;NOMBRE DEL CENTRO DE ATENCIÓN;N° DE CENTRO;N° DE NNA ADOPTADOS - SEGÚN PROCEDENCIA CAR - TOTAL;N° DE NNA ADOPTADOS - SEGÚN PROCEDENCIA CAR - HOMBRES;N° DE NNA ADOPTADOS - SEGÚN PROCEDENCIA CAR - MUJERES;N° DE NNA ADOPTADOS - <1 - TOTAL;N° DE NNA ADOPTADOS - <1 - HOMBRES;N° DE NNA ADOPTADOS - <1 - MUJERES;N° DE NNA ADOPTADOS - 1_5 - TOTAL;N° DE NNA ADOPTADOS - 1_5 - HOMBRES;N° DE NNA ADOPTADOS - 1_5 - MUJERES;N° DE NNA ADOPTADOS - 6_11 - TOTAL;N° DE NNA ADOPTADOS - 6_11 - HOMBRES;N° DE NNA ADOPTADOS - 6_11 - MUJERES;N° DE NNA ADOPTADOS - 12_17 - TOTAL;N° DE NNA ADOPTADOS - 12_17 - HOMBRES;N° DE NNA ADOPTADOS - 12_17 - MUJERES;N° DE NNA ADOPTADOS - TIPO DE NNA - REGULAR;N° DE NNA ADOPTADOS - TIPO DE NNA - PRIORITARIO;N° DE NNA ADOPTADOS - TIPO DE FAMILIA - FAMILIA PERUANA;N° DE NNA ADOPTADOS - TIPO DE FAMILIA - FAMILIA EXTRANJERA;N° DE NNA ADOPTADOS - SEGUN PROCESO DE IT - DIT;N° DE NNA ADOPTADOS - SEGUN PROCESO DE IT - JUZGADO;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - PROBLEMAS SALUD;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - NECESIDADES ESPECIALES;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - GRUPO DE HERMANOS;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - MAYORES DE 9 AÑOS;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - ADOLESCENTES;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - INTERÉS SUPERIOR DEL NNA;N° DE NNA ADOPTADOS - PRIORITARIO - GRUPO DE REFERENCIA - FAMILIA ACOGEDORA
2013;ENE - DIC;5/09/2014;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;040112;AREQUIPA;AREQUIPA;PAUCARPATA;UA04;UNIDAD DE ADOPCIÓN DE AREQUIPA;1;20;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ENE - DIC;5/09/2014;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;050101;AYACUCHO;HUAMANGA;AYACUCHO;UA05;UNIDAD DE ADOPCIÓN DE AYACUCHO;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ENE - DIC;5/09/2014;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;080101;CUSCO;CUSCO;CUSCO;UA08;UNIDAD DE ADOPCIÓN DE CUSCO;1;35;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ENE - DIC;5/09/2014;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;100101;HUÁNUCO;HUÁNUCO;HUÁNUCO;UA10;UNIDAD DE ADOPCIÓN DE HUÁNUCO;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ENE - DIC;5/09/2014;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;140101;LAMBAYEQUE;CHICLAYO;CHICLAYO;UA14;UNIDAD DE ADOPCIÓN DE LAMBAYEQUE;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ENE - DIC;5/09/2014;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;UA13;UNIDAD DE ADOPCIÓN DE LA LIBERTAD;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ENE - DIC;5/09/2014;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;160108;LORETO;MAYNAS;PUNCHANA;UA16;UNIDAD DE ADOPCIÓN DE LORETO;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ENE - DIC;5/09/2014;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;200101;PIURA;PIURA;PIURA;UA20;UNIDAD DE ADOPCIÓN DE PIURA;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ENE - DIC;5/09/2014;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;210101;PUNO;PUNO;PUNO;UA21;UNIDAD DE ADOPCIÓN DE PUNO;1;11;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;ENE - DIC;5/09/2014;ENT006;DIRECCION GENERAL DE ADOPCIONES;LIN001;PROMOCION DE LA CULTURA DE ADOPCION;SER017;PROGRAMA NACIONAL DE ADOPCIONES;120101;JUNÍN;HUANCAYO;HUANCAYO;UA12;UNIDAD DE ADOPCIÓN DE JUNÍN;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;;
