FECHA_CORTE;UUID;FACULTAD;ESPECIALIDAD;MODALIDAD;NIVEL_ACADEMICO;ANNIO_POSTULACION;DERPARTAMENTO;PROVINCIA;DISTRITO;DEPARTAMENTO_ORIGEN;PROVINCIA_ORIGEN;DISTRITO_ORIGEN;COLEGIO;SEXO;DISCAPACIDAD;ETNIA
20240626;289f576de4f9c7ace17bd840112bebab;FACULTAD DE AGROPECUARIA Y NUTRICIÓN;P. Nutrición Humana;Prueba General de Admisión;PREGRADO;2022-1;LIMA           ;LIMA                                    ;LINCE                                                       ;LIMA           ;LIMA                                    ;LINCE                                                       ;1070 MELITON CARVAJAL;F;NINGUNA;MESTIZO
20240626;ac080e3a022137fe57f355502ba2813b;FACULTAD DE CIENCIAS EMPRESARIALES;P. Administración de Empresas;Prueba General de Admisión;PREGRADO;2022-1;AMAZONAS       ;RODRIGUEZ DE MENDOZA                    ;CHIRIMOTO                                                   ;LIMA           ;LIMA                                    ;ATE                                                         ;TORIBIO RODRIGUEZ DE MENDOZA;F;NINGUNA;MESTIZO
20240626;598613d056553226d63ccdfc82b1e3f3;FACULTAD DE CIENCIAS EMPRESARIALES;P. Administración de Empresas;Prueba General de Admisión;PREGRADO;2022-1;LIMA           ;LIMA                                    ;ATE                                                         ;LIMA           ;LIMA                                    ;ATE                                                         ;NUESTRA SEÑORA DEL ROSARIO DE FATIMA;F;NINGUNA;MESTIZO
20240626;927f3abe34860935fd26684c6219e5ea;FACULTAD DE CIENCIAS SOCIALES Y HUMANIDADES;P.E.E. Ciencias Sociales - Psicología;Prueba General de Admisión;PREGRADO;2022-1;JUNIN          ;YAULI                                   ;LA OROYA                                                    ;LIMA           ;LIMA                                    ;SAN JUAN DE LURIGANCHO                                      ;Otra Institucion;F;NINGUNA;OTROS
20240626;230e09492cf54b8edb43a80c5273964f;FACULTAD DE EDUCACIÓN INICIAL;P.E.E. Educación Inicial - Niñez Temprana;Prueba General de Admisión;PREGRADO;2022-1;LIMA           ;LIMA                                    ;LURIGANCHO                                                  ;LIMA           ;LIMA                                    ;LURIGANCHO                                                  ;0027 SAN ANTONIO JICAMARCA;F;NINGUNA;MESTIZO
20240626;6b408815684caec5ddac048b7f35fbb7;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;P.E.E.Educación Primaria -Educ.Básica Alternativa;Prueba General de Admisión;PREGRADO;2022-1;CUSCO          ;QUISPICANCHI                            ;URCOS                                                       ;CUSCO          ;QUISPICANCHI                            ;URCOS                                                       ;CLORINDA MATTO DE TURNER;F;NINGUNA;NO CUENTA CON INFORMACIÓN
20240626;7eecdaed840e9ed8b5dbcf1fea0852c2;FACULTAD DE CIENCIAS EMPRESARIALES;P. Turismo y Hotelería;Prueba General de Admisión;PREGRADO;2022-1;LIMA           ;LIMA                                    ;LIMA                                                        ;LIMA           ;LIMA                                    ;LIMA                                                        ;Otra Institucion;F;NINGUNA;OTROS
20240626;390c0ee8eb1fc522bde379d51efda2d3;FACULTAD DE TECNOLOGÍA;P.E.E. Construcción Civil;Prueba General de Admisión;PREGRADO;2022-1;LIMA           ;LIMA                                    ;CHACLACAYO                                                  ;LIMA           ;LIMA                                    ;CHACLACAYO                                                  ;Otra Institucion;M;NINGUNA;MESTIZO
20240626;c5d10a04d52dc10570900205ba369af3;FACULTAD DE TECNOLOGÍA;P.E.E. Telecomunicaciones e Informática;Prueba General de Admisión;PREGRADO;2022-1;CALLAO         ;CALLAO                                  ;CARMEN DE LA LEGUA REYNOSO                                  ;LIMA           ;LIMA                                    ;PUENTE PIEDRA                                               ;2067 LEONCIO PRADO;M;NINGUNA;MESTIZO
20240626;5bf474dabf76501b7bceb43e426ec3fe;FACULTAD DE TECNOLOGÍA;P.E.E. Telecomunicaciones e Informática;Prueba General de Admisión;PREGRADO;2022-1;JUNIN          ;TARMA                                   ;PALCA                                                       ;LIMA           ;LIMA                                    ;LURIGANCHO                                                  ;0055 MANUEL GONZALES PRADA;M;NINGUNA;MESTIZO
20240626;45bf58bd5180c66f0b8b97d2e6bb1c13;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;P.E.E.Educación Primaria -Educ.Básica Alternativa;Traslado Externo Nacional;PREGRADO;2022-1;LIMA           ;LIMA                                    ;LIMA                                                        ;LIMA           ;LIMA                                    ;LIMA                                                        ;GRAN MARISCAL ANDRES A.CACERES D.;F;NINGUNA;MESTIZO
20240626;ae4b23b0c98d0be75f226c146eeebc5b;FACULTAD DE CIENCIAS EMPRESARIALES;P. Administración de Empresas;Prueba General de Admisión;PREGRADO;2022-1;LIMA           ;LIMA                                    ;CHACLACAYO                                                  ;LIMA           ;LIMA                                    ;CHACLACAYO                                                  ;BRASIL;M;NINGUNA;MESTIZO
20240626;98ff7715bb3fcceefeba3dc5d47a5806;FACULTAD DE CIENCIAS SOCIALES Y HUMANIDADES;P.E.E. Educación Artística - Música;Prueba General de Admisión;PREGRADO;2022-1;LIMA           ;LIMA                                    ;ATE                                                         ;LIMA           ;LIMA                                    ;ATE                                                         ;1252 SANTA ISABEL;M;NINGUNA;NO CUENTA CON INFORMACIÓN
20240626;05092e3431be51980f45edd80e4c3c07;FACULTAD DE AGROPECUARIA Y NUTRICIÓN;P.E.E. Agropecuaria;Prueba General de Admisión;PREGRADO;2022-1;CALLAO         ;CALLAO                                  ;CALLAO                                                      ;CALLAO         ;CALLAO                                  ;LA PERLA                                                    ;NUESTRA SEÑORA DE LA ASUNCION;M;NINGUNA;MESTIZO
20240626;699835761179b85f7c49fb3aac4639b8;FACULTAD DE TECNOLOGÍA;P.E.E. Artes Industriales;Prueba General de Admisión;PREGRADO;2022-1;LIMA           ;LIMA                                    ;LIMA                                                        ;LIMA           ;LIMA                                    ;SAN JUAN DE LURIGANCHO                                      ;116 ABRAHAM VALDELOMAR;F;NINGUNA;NEGRO/MORENO/ZAMBO/MULATO/PUEBLO AFROPERUANO O AFRODESCENDIENTE
20240626;167f0832bc95b5a12b140bd44e5a5633;FACULTAD DE CIENCIAS;P.E.E. Matemática;Prueba General de Admisión;PREGRADO;2022-1;JUNIN          ;YAULI                                   ;LA OROYA                                                    ;LIMA           ;LIMA                                    ;ATE                                                         ;PLANTELES DE APLICACION DE UNE;M;NINGUNA;NO CUENTA CON INFORMACIÓN
